repository,is_carpentry_lesson
hsf-training/maintenance-snippets,FALSE
hsf-training/hsf-training-matplotlib,TRUE
hsf-training/hsf-training-scikit-hep-webpage-minimal,TRUE
hsf-training/hsf-training-theme,FALSE
hsf-training/hsf-training-scikit-hep-webpage,TRUE
hsf-training/hsf-styles,FALSE
hsf-training/hsf-training-cmake-webpage,TRUE
hsf-training/cpluspluscourse,FALSE
hsf-training/hsf-training-cicd-github,TRUE
hsf-training/.github,FALSE
hsf-training/hsf-training-cms-analysis-snapshot-stats,FALSE
hsf-training/hsf-training-cms-analysis,FALSE
hsf-training/hsf-training-advanced-git-webpage,TRUE
hsf-training/hsf-training-cms-analysis-webpage,TRUE
hsf-training/hsf-training-cicd,TRUE
hsf-training/hsf-training-ml-webpage,TRUE
hsf-training/hsf-training-cicd-basics-webpage,TRUE
hsf-training/hsf-training-ssh-webpage,TRUE
hsf-training/hsf-training-uproot-webpage,TRUE
hsf-training/hsf-training-docker,TRUE
hsf-training/organization,FALSE
hsf-training/analysis-essentials,FALSE
hsf-training/learner-certificates,FALSE
hsf-training/hsf-training-spack-webpage,TRUE
hsf-training/csbs-paper,FALSE
hsf-training/PyHEP-resources,FALSE
hsf-training/hsf-training-cms-analysis-snapshot,FALSE
hsf-training/hsf-training-cpp-webpage,TRUE
hsf-training/hsf-training-intermediate-cpp,FALSE
hsf-training/python-lesson,FALSE